"","ATT","S.E.","CI.lower","CI.upper","p.value","count"
"-59",0.0183359406168211,0.180011001572808,-0.334479139286865,0.371151020520507,0.91886771196704,3
"-58",0.37348489781945,0.173229694360116,0.0339609358207403,0.713008859818159,0.031082909340485,18
"-57",0.334159507926886,0.140534820391714,0.0587163213853222,0.60960269446845,0.0174176768534375,24
"-56",0.430743174278928,0.13507670397199,0.16599769934345,0.695488649214406,0.0014282597819486,35
"-55",0.394271481497212,0.128804763433713,0.141818784129933,0.64672417886449,0.00220598518829718,37
"-54",0.427207999862107,0.118414492845316,0.195119858637713,0.659296141086502,0.000308882842304792,40
"-53",0.243443417709972,0.141823620863542,-0.0345257713396332,0.521412606759578,0.0860664773601263,47
"-52",0.186223918985945,0.119958330420492,-0.0488900882837744,0.421337926255664,0.120565333786883,65
"-51",0.208502441914009,0.107192048783157,-0.00159011313003843,0.418594996958057,0.0517593654064039,73
"-50",0.00871193954593476,0.14535513690707,-0.276178893759811,0.29360277285168,0.95220696887521,77
"-49",0.125496661535875,0.0970767448262918,-0.0647702620600423,0.315763585131792,0.196095045012698,78
"-48",0.328916709433753,0.0793628292553922,0.173368422381983,0.484464996485524,3.40603452690935e-05,79
"-47",0.140160831760414,0.102942419947572,-0.0616026038182252,0.341924267339054,0.173341232608339,79
"-46",0.277117890956731,0.106713873108282,0.0679625430137215,0.486273238899741,0.00940882113212105,79
"-45",0.0896211112154665,0.128963358588226,-0.163142426942781,0.342384649373713,0.487096233563934,82
"-44",-0.0101655201598271,0.126082034737463,-0.257281767342782,0.236950727023127,0.935739199100257,87
"-43",-0.114916173590747,0.13018614343998,-0.370076326019273,0.14024397883778,0.377394792224783,88
"-42",0.0965068134011159,0.125276572807789,-0.149030757408759,0.342044384210991,0.441092278116238,96
"-41",-0.0826974314480493,0.265938231556132,-0.603926787410341,0.438531924514243,0.755827374371014,97
"-40",0.0315749094530527,0.079912942261368,-0.125051579277857,0.188201398183963,0.69275702863574,99
"-39",0.200922084543363,0.0779489363519647,0.048144976660307,0.353699192426418,0.00994857432664742,99
"-38",0.170569157394111,0.0850461061854846,0.00388185224519194,0.33725646254303,0.0448980795878791,99
"-37",0.179457594096493,0.0806286044942724,0.0214284331639944,0.337486755028991,0.0260321970382995,99
"-36",0.2897232544362,0.0723937493484373,0.147834113007442,0.431612395864957,6.27965742641123e-05,102
"-35",0.108411152298677,0.0833938441570689,-0.0550377787815238,0.271860083378878,0.193604442461059,103
"-34",0.173829668121686,0.0792008179408288,0.0185989174115475,0.329060418831824,0.0281782076386912,104
"-33",0.0134880969691354,0.105522148525788,-0.193331513712695,0.220307707650966,0.898289502651411,106
"-32",-0.0782849105291781,0.107583228130819,-0.289144163006139,0.132574341947783,0.466816626812227,106
"-31",-0.0640121535261772,0.117812087651393,-0.294919602266383,0.166895295214029,0.586894946467236,107
"-30",-0.187457231093562,0.104466313600776,-0.392207443348749,0.0172929811616247,0.0727449530050854,107
"-29",-0.0177731640349867,0.131417805268718,-0.275347329288972,0.239801001218998,0.892420798316627,107
"-28",-0.360161213840511,0.127506397860843,-0.610069161446197,-0.110253266234824,0.00473319782189097,109
"-27",-0.178597198530532,0.110712953870461,-0.395590600738681,0.0383962036776162,0.106710752013282,114
"-26",-0.0562105407329072,0.121918428942364,-0.295166270511647,0.182745189045833,0.644762444261345,123
"-25",-0.213495680140089,0.159821821592234,-0.526740694404454,0.0997493341242761,0.181603011673699,129
"-24",-0.0553473393278064,0.132331620769427,-0.314712550051696,0.204017871396083,0.675766336990881,135
"-23",-0.176649936711546,0.117938776061291,-0.407805690172411,0.0545058167493181,0.134182492946874,143
"-22",-0.208663823214107,0.117127661462211,-0.438229821273441,0.0209021748452275,0.0748295586522227,155
"-21",-0.0929930906201946,0.0951765625045056,-0.279535725301351,0.0935495440609617,0.328540081197941,156
"-20",-0.140641305777912,0.0909568326027166,-0.318913421827075,0.0376308102712511,0.122046051287828,158
"-19",0.0784242623988005,0.0761179112246984,-0.0707641021800253,0.227612626977626,0.302869331850084,163
"-18",0.0789403003269798,0.0705923161427895,-0.0594180968981531,0.217298697552113,0.263457556779283,165
"-17",0.0767806157076317,0.129146174371474,-0.176341234801586,0.32990246621685,0.552161096831432,166
"-16",0.00273742089714845,0.0973557943245704,-0.188076429665299,0.193551271459595,0.977568278086609,169
"-15",-0.0733713364530515,0.0818044218269057,-0.233705057009909,0.0869623841038059,0.369766079404017,172
"-14",-0.191943243586416,0.106487054242577,-0.40065403472163,0.0167675475487976,0.0714662900630212,178
"-13",-0.00791580223299423,0.117176273435438,-0.237577078009071,0.221745473543082,0.946140156309098,182
"-12",-0.08894823477143,0.099184679329489,-0.283346634075383,0.105450164532523,0.369828799315665,183
"-11",0.00376402426317123,0.0853334664540055,-0.163486496662636,0.171014545188979,0.964817048095127,185
"-10",0.0187725773148886,0.117237776804276,-0.211009242849038,0.248554397478815,0.87278342578681,188
"-9",0.0143430149208688,0.0838213480075863,-0.149943808309599,0.178629838151336,0.864134045477081,190
"-8",-0.0596058192481397,0.0902732705290019,-0.236538178251625,0.117326539755345,0.509072853151961,190
"-7",-0.179215283786464,0.0740999972076458,-0.324448609567968,-0.0339819580049593,0.0155820787092824,191
"-6",-0.259700114964665,0.128708906848024,-0.511964936876312,-0.00743529305301677,0.0436191519490283,194
"-5",-0.100279008876132,0.0561043599181542,-0.210241533691387,0.00968351593912255,0.0738784006099924,226
"-4",-0.0429108747248194,0.0668650304389795,-0.173963926210394,0.0881421767607548,0.521033174047981,244
"-3",-0.122607829238177,0.0697833108586709,-0.259380605243135,0.0141649467667806,0.0789213459394329,244
"-2",-0.139222441931736,0.0668764745338673,-0.270297923431126,-0.00814696043234639,0.0373621119370831,245
"-1",-0.104706012404922,0.0789808862876256,-0.259505704995722,0.0500936801858775,0.184934676074552,245
"0",-0.0862439267893558,0.0776786566058887,-0.238491296104352,0.0660034425256404,0.266884666817636,245
"1",-0.379520720157715,0.135526118415535,-0.645147031216675,-0.113894409098755,0.00510470453493728,245
"2",-0.297809807959456,0.132733362043056,-0.557962417110761,-0.0376571988081509,0.0248536681289246,240
"3",0.0208454601156714,0.170897161176076,-0.314106820849575,0.355797741080917,0.902917525129305,17
