"","ATT","S.E.","CI.lower","CI.upper","p.value","count"
"-59",0.000775981100777331,0.004318466072271,-0.00768805686933197,0.00924001907088663,0.857396684029857,3
"-58",-0.00748009138251553,0.0120801175130768,-0.0311566866371576,0.0161965038721265,0.535780106923694,18
"-57",-0.00264904520868608,0.00930266438226857,-0.020881932358196,0.0155838419408239,0.775826495708531,24
"-56",0.00355478721742162,0.00692077033529541,-0.0100096733850306,0.0171192478198738,0.607503431010139,35
"-55",0.000143680180709186,0.00744874316833923,-0.0144555881593245,0.0147429485207429,0.984610411903431,37
"-54",-0.00175551048090675,0.00816611108171973,-0.0177607940948308,0.0142497731330173,0.829786738272696,40
"-53",-0.00317582592168431,0.0123061007344952,-0.0272953401514168,0.0209436883080481,0.796353479515405,47
"-52",-0.00835182307028358,0.0111492197516284,-0.0302038922391978,0.0135002460986306,0.453800040324425,65
"-51",0.00129636974281168,0.0159737475178538,-0.0300116000903179,0.0326043395759413,0.935317677411068,73
"-50",0.0383346142872185,0.018410313395106,0.00225106308871546,0.0744181654857216,0.0373209335470237,77
"-49",0.0389942724686323,0.0221117821453784,-0.00434402417030517,0.0823325691075697,0.0778150948940211,78
"-48",-0.00900919809220212,0.0161493151625677,-0.0406612741858214,0.0226428780014172,0.576934019342518,79
"-47",-0.0207189306222838,0.0104410533583413,-0.0411830191652936,-0.000254842079273919,0.0472144203985512,79
"-46",-0.0193864437396223,0.0160804326312633,-0.050903512552721,0.0121306250734765,0.227974778100547,79
"-45",-0.0166680737595183,0.0105141913715947,-0.0372755101744057,0.00393936265536904,0.112899783550831,82
"-44",0.0228874336836558,0.0255169526103248,-0.027124874427796,0.0728997417951076,0.369745534396977,87
"-43",-0.000738967458855109,0.0171658463248714,-0.0343834080197522,0.032905473102042,0.965662708636965,88
"-42",-0.0215513856183434,0.0113875449897457,-0.0438705636705745,0.000767792433887714,0.058419055095279,96
"-41",-0.0117097492673116,0.017690299270574,-0.0463820987133719,0.0229626001787487,0.508015741181957,97
"-40",0.0430527916906185,0.0252793344264482,-0.0064937933383634,0.0925993767196005,0.0885526332336863,99
"-39",0.0133936919668381,0.0211639986460508,-0.0280869831482759,0.054874367081952,0.526829891487168,99
"-38",0.0599784411905203,0.0309887270065515,-0.000758347669064241,0.120715230050105,0.0529299178634479,99
"-37",-0.0137086614676967,0.0125358509825602,-0.0382784779090758,0.0108611549736823,0.274149531352887,99
"-36",0.0489538256405483,0.023609401585339,0.002680248836741,0.0952274024443555,0.0381268286072851,102
"-35",-0.000729855216797392,0.0132042829435599,-0.0266097742278513,0.0251500637942565,0.955920074041592,103
"-34",-0.00109889525125732,0.0138817308485861,-0.0283065877575647,0.0261087972550501,0.936904360973944,104
"-33",-0.00848274502223473,0.00981284840638887,-0.0277155744845082,0.0107500844400387,0.387339156979077,106
"-32",-0.0043344743450078,0.0130299967484119,-0.029872798690569,0.0212038500005534,0.739395835225997,106
"-31",0.020876615031541,0.0168605801562711,-0.0121695148332009,0.053922744896283,0.215645326431995,107
"-30",-0.00716549309887235,0.0115682568899803,-0.029838859967141,0.0155078737693963,0.535646346358981,107
"-29",-0.0170317853582003,0.00524667337460515,-0.0273150762110716,-0.006748494505329,0.00116953960959987,107
"-28",0.000408263393593995,0.0110851740570382,-0.0213182785205587,0.0221348053077467,0.970620810293532,109
"-27",-0.0106450563117561,0.00768828670956936,-0.02571382136533,0.00442370874181781,0.166180600190466,114
"-26",-0.00207715521926077,0.0111869427568469,-0.024003160119792,0.0198488496812705,0.852698258854301,123
"-25",0.0136328771056557,0.0134340745047116,-0.0126974250892068,0.0399631793005181,0.310201943957389,129
"-24",0.00161865508755977,0.0105520333726361,-0.0190629502864717,0.0223002604615913,0.878084850023342,135
"-23",-0.00161587148967279,0.00862024014308084,-0.0185112317081976,0.015279488728852,0.851307143142813,143
"-22",-0.0105414420619448,0.00991350521358308,-0.0299715552411177,0.00888867111722813,0.287627086139416,155
"-21",-0.00461268484758135,0.009301087940921,-0.0228424822288263,0.0136171125336636,0.619944079521435,156
"-20",-0.00935755494252017,0.00590071650325303,-0.0209227467718772,0.00220763688683689,0.112777044297419,158
"-19",0.00548914698060608,0.0134598964680125,-0.0208917653323363,0.0318700592935485,0.683409538345434,163
"-18",0.00372724015524743,0.0077574119224762,-0.0114770078260475,0.0189314881365424,0.630889889921482,165
"-17",-0.00833822501087018,0.003132915753161,-0.0144786270536639,-0.00219782296807643,0.00777955733297131,166
"-16",-0.00151951184674661,0.00386591853017708,-0.00909657293305971,0.00605754923956649,0.694280151212116,169
"-15",0.0010374167442551,0.0081153810644682,-0.0148684378629209,0.0169432713514311,0.898280818447425,172
"-14",0.000761678720005252,0.00775928183212838,-0.0144462342168623,0.0159695916568728,0.921802418365738,178
"-13",-0.0026621536292318,0.00797231050604659,-0.0182875950946534,0.0129632878361898,0.738436169084151,182
"-12",-0.00751153854345194,0.00598435757026266,-0.0192406638517764,0.00421758676487251,0.209407807767751,183
"-11",-2.42263331282038e-05,0.00864114112826288,-0.0169605517298513,0.0169120990635948,0.997763051018576,185
"-10",-0.00405610184763966,0.00796155894848822,-0.0196604706474691,0.0115482669521898,0.610429298718377,188
"-9",-0.011061304940539,0.00637901411686738,-0.0235639428664716,0.00144133298539367,0.0829154557526153,190
"-8",-0.010689936065825,0.0079215956048331,-0.0262159781513887,0.00483610601973867,0.177186842431648,190
"-7",-0.0151453154443168,0.00683079835698935,-0.0285334342096713,-0.00175719667896227,0.0266087343678232,191
"-6",-0.00292451099646624,0.0102395830922145,-0.022993725073912,0.0171447030809795,0.77517806512376,194
"-5",-0.00496282910166387,0.00853231092372404,-0.0216858512170607,0.0117601930137329,0.560801631378889,226
"-4",0.00832258028428337,0.0115260422285859,-0.0142680473680327,0.0309132079365995,0.470252989840357,244
"-3",-0.0128582001883528,0.00652178474032443,-0.0256406633943116,-7.57369823940011e-05,0.0486579255320974,244
