date,new_infections,cumulative_infections,new_infections_text,cumulative_infections_text
2020-03-15,18,18,18.0,
2020-03-22,25,43,25.0,
2020-03-29,7,50,7.0,
2020-04-05,2,52,2.0,
2020-04-12,1,53,1.0,
2020-04-19,0,53,,
2020-04-26,0,53,,
2020-05-03,0,53,,
2020-05-10,0,53,,
2020-05-17,1,54,1.0,
2020-05-24,0,54,,
2020-05-31,2,56,2.0,
2020-06-07,0,56,,
2020-06-14,0,56,,
2020-06-21,1,57,1.0,
2020-06-28,0,57,,
2020-07-05,0,57,,
2020-07-12,1,58,1.0,
2020-07-19,2,60,2.0,
2020-07-26,0,60,,
2020-08-02,6,66,6.0,
2020-08-09,1,67,1.0,
2020-08-16,1,68,1.0,
2020-08-23,2,70,2.0,
2020-08-30,1,71,1.0,
2020-09-06,0,71,,
2020-09-13,0,71,,
2020-09-20,3,74,3.0,
2020-09-27,0,74,,
2020-10-04,8,82,8.0,
2020-10-11,2,84,2.0,
2020-10-18,2,86,2.0,
2020-10-25,0,86,,
2020-11-01,1,87,1.0,
2020-11-08,2,89,2.0,
2020-11-15,4,93,4.0,
2020-11-22,8,101,8.0,
2020-11-29,3,104,3.0,
2020-12-06,4,108,4.0,
2020-12-13,1,109,1.0,
2020-12-20,5,114,5.0,
2020-12-27,1,115,1.0,
2021-01-03,5,120,5.0,
2021-01-10,6,126,6.0,
2021-01-17,5,131,5.0,
2021-01-24,2,133,2.0,
2021-01-31,3,136,3.0,136.0
2021-02-07,1,137,1.0,
2021-02-14,0,137,,
2021-02-21,0,137,,
2021-02-28,0,137,,
2021-03-07,0,137,,
2021-03-14,0,137,,
2021-03-21,0,137,,
2021-03-28,0,137,,
2021-04-04,0,137,,
2021-04-11,0,137,,
2021-04-18,0,137,,
2021-04-25,0,137,,
2021-05-02,0,137,,
2021-05-09,0,137,,
2021-05-16,0,137,,
2021-05-23,0,137,,
2021-05-30,0,137,,
2021-06-06,1,138,1.0,
2021-06-13,0,138,,
2021-06-20,0,138,,
2021-06-27,0,138,,
2021-07-04,0,138,,
2021-07-11,0,138,,
2021-07-18,0,138,,
2021-07-25,1,139,1.0,
2021-08-01,1,140,1.0,
2021-08-08,3,143,3.0,
2021-08-15,0,143,,
2021-08-22,5,148,5.0,
2021-08-29,1,149,1.0,
2021-09-05,0,149,,
2021-09-12,1,150,1.0,
2021-09-19,0,150,,
2021-09-26,4,154,4.0,
2021-10-03,0,154,,
2021-10-10,1,155,1.0,
2021-10-17,0,155,,
2021-10-24,0,155,,
2021-10-31,0,155,,
2021-11-07,0,155,,
2021-11-14,0,155,,
2021-11-21,1,156,1.0,
2021-11-28,0,156,,
2021-12-05,0,156,,
2021-12-12,1,157,1.0,
2021-12-19,4,161,4.0,
2021-12-26,7,168,7.0,
2022-01-02,3,171,3.0,
2022-01-09,8,179,8.0,
2022-01-16,10,189,10.0,
2022-01-23,8,197,8.0,
2022-01-30,4,201,4.0,
2022-02-06,4,205,4.0,
2022-02-13,1,206,1.0,
2022-02-20,0,206,,
2022-02-27,2,208,2.0,
2022-03-06,6,214,6.0,
2022-03-13,5,219,5.0,
2022-03-20,7,226,7.0,
2022-03-27,1,227,1.0,
2022-04-03,0,227,,
2022-04-10,18,245,18.0,
2022-04-17,3,248,3.0,
2022-04-24,2,250,2.0,
2022-05-01,8,258,8.0,258.0
