party_family,position,party_vote,sbsrnen,total,normalized
Agrarian,Against,2.0,9.0,0.04938271604938271,0.05
Agrarian,Neither,1.0,3.0,0.1111111111111111,0.1125
Agrarian,Support,2.0,3.0,0.8271604938271605,0.8375
Christian democracy,Against,6.416666666666666,9.0,0.06951888978943624,0.06877819900041557
Christian democracy,Neither,4.285714285714286,3.0,0.08979817906802892,0.08884142207280107
Christian democracy,Support,8.571428571428571,3.0,0.8514521981455309,0.8423803789267834
Communist/Socialist,Against,11.0,9.0,0.15422619047619046,0.13499296067769864
Communist/Socialist,Neither,6.125,3.0,0.10660714285714286,0.09331238617281293
Communist/Socialist,Support,14.06043956043956,3.0,0.881642464678179,0.7716946531494884
Conservative,Against,12.166666666666668,9.0,0.23701518666888446,0.1995813350472118
Conservative,Neither,5.666666666666667,3.0,0.16656912161291787,0.140261424326325
Conservative,Support,13.4,3.0,0.7839775777673992,0.6601572406264631
Green/Ecologist,Against,10.25,9.0,0.029975925324762533,0.029485142172879803
Green/Ecologist,Neither,5.4,3.0,0.026136132517711463,0.025708216670040505
Green/Ecologist,Support,10.857142857142858,3.0,0.9605330425611506,0.9448066411570797
Liberal,Against,12.027972027972027,9.0,0.12856268695709147,0.11386829848060165
Liberal,Neither,5.846153846153846,3.0,0.08665202813133721,0.07674792147508348
Liberal,Support,13.608333333333334,3.0,0.9138325146723034,0.8093837800443149
Right-wing,Against,13.7,9.0,0.138056601486296,0.1350919033754169
Right-wing,Neither,7.0,3.0,0.11511248301038705,0.11264049864132832
Right-wing,Support,14.0,3.0,0.7687767023106897,0.7522675979832548
Social democracy,Against,5.844444444444445,9.0,0.10110387251830846,0.09675810340484667
Social democracy,Neither,3.4,3.0,0.0863377728941018,0.08262669816053685
Social democracy,Support,7.49090909090909,3.0,0.8574721030028372,0.8206151984346164
Special issue,Against,21.666666666666664,9.0,0.15635642135642136,0.1376233946454842
Special issue,Neither,10.285714285714286,3.0,0.0929911358482787,0.08184988935124349
Special issue,Support,21.58888888888889,3.0,0.8867704826038161,0.7805267160032723
other/NA,Against,132.5,9.0,0.13444518169054717,0.12443906901102393
other/NA,Neither,66.84848484848484,3.0,0.13362557263922656,0.12368045954643116
other/NA,Support,119.27913279132791,3.0,0.8123389816080353,0.7518804714425449
